Valor NaN encontrado para defesaconstroi_normalized em Angus Gunn (2020-2021, Stoke City)
Valor NaN encontrado para defesaconstroi_normalized em Angus Gunn (2018-2019, Southampton)
Valor NaN encontrado para defesaconstroi_normalized em Angus Gunn (2021-2022, Norwich City)
Valor NaN encontrado para defesaconstroi_normalized em Daniel Iversen (2020-2021, OH Leuven)
Valor NaN encontrado para defesaconstroi_normalized em Daniel Iversen (2022-2023, Leicester City)
Valor NaN encontrado para defesaconstroi_normalized em Thomas Kaminski (2022-2023, Blackburn)
Valor NaN encontrado para defesaconstroi_normalized em Thomas Kaminski (2018-2019, Kortrijk)
Valor NaN encontrado para defesaconstroi_normalized em Michael McGovern (2020-2021, Norwich City)
Valor NaN encontrado para defesaconstroi_normalized em Yaya Sanogo (2020-2021, Huddersfield)
Valor NaN encontrado para defesaconstroi_normalized em Mark Travers (2021-2022, Bournemouth)
Valor NaN encontrado para defesaconstroi_normalized em Mark Travers (2023-2024, Stoke City)
Valor NaN encontrado para defesaconstroi_normalized em Mark Travers (2022-2023, Bournemouth)
Valor NaN encontrado para defesaconstroi_normalized em Ben Wilson (2021-2022, Coventry City)
Valor NaN encontrado para defesaconstroi_normalized em Nathan Baxter (2022-2023, Hull City)
Valor NaN encontrado para defesaconstroi_normalized em Jack Bonham (2021-2022, Stoke City)
Valor NaN encontrado para defesaconstroi_normalized em David Button (2022-2023, West Brom)
Valor NaN encontrado para defesaconstroi_normalized em David Button (2018-2019, Brighton)
Valor NaN encontrado para defesaconstroi_normalized em Isaak Davies (2022-2023, Cardiff City)
Valor NaN encontrado para defesaconstroi_normalized em Andy Fisher (2021-2022, Swansea City)
Valor NaN encontrado para defesaconstroi_normalized em Andy Fisher (2022-2023, Swansea City)
Valor NaN encontrado para defesaconstroi_normalized em Paulo Gazzaniga (2018-2019, Tottenham)
Valor NaN encontrado para defesaconstroi_normalized em Paulo Gazzaniga (2019-2020, Tottenham)
Valor NaN encontrado para defesaconstroi_normalized em Paulo Gazzaniga (2020-2021, Elche)
Valor NaN encontrado para defesaconstroi_normalized em Daniel Grimshaw (2022-2023, Blackpool)
